ags;bezirk;bezirksname;ewhg;frag;ewwg;frawg;ausg;afrg;einwg;fraeing;datei
06411000;110;Stadtzentrum;1697;735;1730;746;701;317;995;452;Bestand_2025_Q4.csv
06411000;120;Rheintor/Grafenstrasse;5412;2242;5501;2270;2559;1029;3423;1417;Bestand_2025_Q4.csv
06411000;130;Hochschulviertel;650;279;669;285;185;76;271;119;Bestand_2025_Q4.csv
06411000;140;Kapellplatzviertel;6219;3040;6330;3081;1603;765;2849;1405;Bestand_2025_Q4.csv
06411000;150;St. Ludwig mit Eichbergv.;7715;3719;7869;3785;2336;1059;3967;1889;Bestand_2025_Q4.csv
06411000;210;Johannesviertel;5394;2543;5487;2572;1163;500;2000;914;Bestand_2025_Q4.csv
06411000;220;Martinsviertel-West;5831;2861;5956;2911;1184;573;2136;1064;Bestand_2025_Q4.csv
06411000;230;Martinsviertel-Ost;5601;2763;5694;2804;1168;555;2156;1050;Bestand_2025_Q4.csv
06411000;240;Waldkolonie;6130;2855;6255;2891;1786;785;3313;1550;Bestand_2025_Q4.csv
06411000;250;Mornewegviertel;906;359;932;367;420;178;597;254;Bestand_2025_Q4.csv
06411000;260;Pallaswiesenviertel;4082;1672;4110;1683;2283;862;2958;1168;Bestand_2025_Q4.csv
06411000;270;Am Ziegelbusch;5234;2418;5318;2450;1556;659;2694;1199;Bestand_2025_Q4.csv
06411000;310;Am Oberfeld;4330;2233;4407;2269;409;198;1026;530;Bestand_2025_Q4.csv
06411000;320;Mathildenhoehe;2914;1464;2980;1491;646;306;1214;601;Bestand_2025_Q4.csv
06411000;330;Woogsviertel;5069;2511;5137;2538;978;475;1875;912;Bestand_2025_Q4.csv
06411000;340;An den Lichtwiesen;2602;1248;2652;1271;537;241;901;428;Bestand_2025_Q4.csv
06411000;410;Paulusviertel;5797;2804;5917;2852;961;364;1770;788;Bestand_2025_Q4.csv
06411000;420;Alt-Bessungen;6296;3134;6389;3174;1157;569;2202;1088;Bestand_2025_Q4.csv
06411000;430;An der Ludwigshoehe;2769;1423;2797;1432;953;496;1684;845;Bestand_2025_Q4.csv
06411000;440;Lincoln-Siedlung;3754;1826;3768;1831;1388;676;2531;1245;Bestand_2025_Q4.csv
06411000;510;Am Suedbahnhof;3833;1934;3868;1954;1007;507;2031;1000;Bestand_2025_Q4.csv
06411000;520;Heimstaettensiedlung;7187;3634;7263;3667;1030;499;2572;1299;Bestand_2025_Q4.csv
06411000;530;Verlegerviertel;9580;4493;9738;4541;4019;1899;6087;2913;Bestand_2025_Q4.csv
06411000;540;Am Kavalleriesand;1741;608;1758;618;1247;383;1479;500;Bestand_2025_Q4.csv
06411000;610;Alt-Arheilgen;4386;2215;4448;2234;784;378;1568;778;Bestand_2025_Q4.csv
06411000;620;Arheilgen-Sued;4235;2166;4285;2185;775;392;1677;864;Bestand_2025_Q4.csv
06411000;630;Arheilgen-West;7359;3686;7434;3726;1188;583;3038;1533;Bestand_2025_Q4.csv
06411000;640;Arheilgen-Ost;1801;875;1822;880;331;140;713;328;Bestand_2025_Q4.csv
06411000;710;Alt-Eberstadt;6027;2966;6110;3007;1061;474;1889;898;Bestand_2025_Q4.csv
06411000;720;Am Laemmchesberg;3797;1802;3835;1818;805;318;1567;689;Bestand_2025_Q4.csv
06411000;730;Villenkolonie;4239;2232;4343;2280;527;280;1161;605;Bestand_2025_Q4.csv
06411000;740;Am Frankenstein;3250;1643;3296;1665;328;145;754;351;Bestand_2025_Q4.csv
06411000;750;Kirchtannensiedlung;6405;3337;6452;3357;2751;1462;4543;2370;Bestand_2025_Q4.csv
06411000;810;Wixhausen-West;2508;1197;2529;1202;531;236;988;479;Bestand_2025_Q4.csv
06411000;820;Wixhausen-Ost;4026;1984;4081;2007;878;422;1831;884;Bestand_2025_Q4.csv
06411000;910;Kranichstein-Sued;8557;4349;8626;4380;2787;1420;5560;2801;Bestand_2025_Q4.csv
06411000;920;Kranichstein-Nord;3188;1639;3219;1657;768;393;1908;983;Bestand_2025_Q4.csv
06411000;Gesamt;Darmstadt;170521;82889;173005;83881;44790;20614;79928;38193;Bestand_2025_Q4.csv
